model,generation,support_bmp,support_jpg,support_gif,main_res,main_size,main_colours,main_name,secondary_res,secondary_size,secondary_colours,secondary_name
T60,60 (2006),true,false,false,640x480,10kb,16,logo.bmp,,,,
T60p,60 (2006),true,false,false,640x480,10kb,16,logo.bmp,,,,
R60,60 (2006),true,false,false,640x480,10kb,16,logo.bmp,,,,
R60i,60 (2006),true,false,false,640x480,10kb,16,logo.bmp,,,,
R60e,60 (2006),true,false,false,640x480,10kb,16,logo.bmp,,,,
X60,60 (2006),false,false,false,640x480,10kb,16,logo.bmp,,,,
X60s,60 (2006),true,false,false,640x480,10kb,16,logo.bmp,,,,
X60 tablet,60 (2006),true,false,false,640x480,10kb,16,logo.bmp,,,,
T61,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
T61p,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
R61,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
R61i,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
R61e,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
Z61e,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
Z61m,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
Z61t,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
Z61p,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
X61,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
X61s,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
Reserve Edition,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
X61 tablet,61,true,false,false,640x480,10kb,16,logo.bmp,,,,
T400,00 (2008),true,false,false,640x480,10kb,16,logo.bmp,,,,
R400,00 (2008),true,false,false,640x480,10kb,16,logo.bmp,,,,
T400s,00 (2008),true,false,false,640x480,10kb,16,logo.bmp,,,,
T500,00 (2008),true,false,false,640x480,10kb,16,logo.bmp,,,,
R500,00 (2008),true,false,false,640x480,10kb,16,logo.bmp,,,,
SL300,00 (2008),false,false,false,,,,,,,,
SL400,00 (2008),false,false,false,,,,,,,,
SL400c,00 (2008),false,false,false,,,,,,,,
SL500,00 (2008),false,false,false,,,,,,,,
